Id,Location,CoverType,StartDate ,EndDate,PolicyTenure,NetPremium,Action,VehicleType,Status
5000123,Kilifi,PRIVATE TPO,26-Jan-20,25-Jan-25,5,1870,EXTEND,PRIVATE,ACTIVE
5000124,Kilifi,PRIVATE TPO,26-Jan-20,25-Jan-25,5,1870,EXTEND,PRIVATE,ACTIVE
5000125,Kilifi,PRIVATE TPO,27-Jan-20,25-Jan-25,5,1870,EXTEND,PRIVATE,ACTIVE
5000126,Kilifi,COMMERCIAL TPO OWN GOODS,24-Jan-20,23-Jan-25,5,4150,EXTEND,COMMERCIAL,ACTIVE
5000127,Kilifi,PRIVATE TOR,25-Jan-20,23-Jan-24,4,900,EXTEND,PRIVATE,NOT ACTIVE 
5000128,Kilifi,PRIVATE COMPREHENSIVE,26-Jan-20,25-Jan-24,4,35000,EXTEND,PRIVATE,ACTIVE
5000129,Kilifi,PSV TPO TAXI,22-Jan-20,21-Jan-25,5,4387,EXTEND,COMMERCIAL,ACTIVE
5000130,Kilifi,PRIVATE TOR,20-Jan-20,19-Feb-24,4,900,EXTEND,PRIVATE,NOT ACTIVE 
5000131,Kilifi,PRIVATE TPO,20-Jan-20,19-Feb-25,5,3500,EXTEND,PRIVATE,ACTIVE
5000132,Kilifi,PRIVATE TPO,20-Jan-20,19-Feb-25,5,3500,EXTEND,PRIVATE,ACTIVE
5000133,Kilifi,PSV TPO TAXI,20-Jan-20,19-Feb-25,5,4387,EXTEND,COMMERCIAL,ACTIVE
5000134,Kilifi,PRIVATE TPO,19-Jan-20,18-Jan-25,5,3500,EXTEND,PRIVATE,ACTIVE
5000135,Kilifi,PSV TPO TAXI,18-Jan-20,17-Jan-25,5,4387,EXTEND,COMMERCIAL,ACTIVE
5000136,Kilifi,PRIVATE TOR,18-Jan-20,17-Feb-24,4,900,EXTEND,PRIVATE,NOT ACTIVE 
5000137,Kilifi,PRIVATE TOR,18-Jan-20,17-Feb-24,4,900,EXTEND,PRIVATE,NOT ACTIVE 
5000138,Kilifi,PRIVATE TPO,16-Jan-20,15-Jan-25,5,3500,EXTEND,PRIVATE,ACTIVE
5000139,Kilifi,PRIVATE TOR,1-Feb-20,29-Feb-24,4,900,EXTEND,PRIVATE,NOT ACTIVE 
5000140,Kilifi,PRIVATE TPO,31-Jan-20,30-Jan-25,5,3500,EXTEND,PRIVATE,ACTIVE
5000141,Kilifi,PRIVATE TPO,2-Feb-20,1-Feb-25,5,3500,EXTEND,PRIVATE,ACTIVE
5000142,Kilifi,PSV TPO TAXI,31-Jan-20,30-Jan-25,5,4387,EXTEND,PRIVATE,ACTIVE
5000143,Kilifi,PRIVATE TOR,7-Feb-20,6-Mar-24,4,900,EXTEND,PRIVATE,NOT ACTIVE 
